CubeName	MeasureGroup	MeasureName	Visible	FormatString	AggregateType	DisplayFolder	SourceTable	SourceColumn	Type
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Total Cost Dollars	False	#,##0	Sum		olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Rec Equivalent	True	#,##0	Sum	Sales\Total Sales\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Comp POS Qty Equivalent Units	False	#,##0	Sum		olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Archived Club Inventory	Archived On Hand Qty Ending	True		LastNonEmpty	Supply Chain\Store Inventory Position	olap_STORE_CURRENT_INVENTORY	CurrentOnHandQty	Core Measure
SC_SALES_SUPPLYCHAIN_US	Archived Club Inventory	Archived On Hand Sell Dollars Ending	True		LastNonEmpty	Supply Chain\Store Inventory Position	olap_STORE_CURRENT_INVENTORY	CurrentOnHandSellDollars	Core Measure
SC_SALES_SUPPLYCHAIN_US	Archived Club Inventory	Archived On Hand Cost Dollars Ending	True		LastNonEmpty	Supply Chain\Store Inventory Position	olap_STORE_CURRENT_INVENTORY	CurrentOnHandCostDollars	Core Measure
SC_SALES_SUPPLYCHAIN_US	CALCULATED FACT	Curr Forecast Qty	True	#,##0	Sum	Supply Chain\Forecast	Calculated_fact	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	CALCULATED FACT	4 Wk Forecast Qty	True	#,##0	Sum	Supply Chain\Forecast	Calculated_fact	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Traited Stores Not Scanning	True	#,##0		Supply Chain\Points of Distribution			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	% Traited Stores Not Scanning	True	Percent		Supply Chain\Points of Distribution			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Store On Hand DOS	True	#,##0		Supply Chain\Days of Supply			Calculated Measure
SC_SALES_SUPPLYCHAIN_US		Stores with No Sales							Set
SC_SALES_SUPPLYCHAIN_US		Stores with Sales							Set
SC_SALES_SUPPLYCHAIN_US	Store Sales	Last Scan Date	True	Short Date		Supply Chain\Points of Distribution			Calculated Measure
SC_SALES_SUPPLYCHAIN_US		First Scan Date Internalxx	False						Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	First Scan Date	True	Short Date		Supply Chain\Points of Distribution			Calculated Measure
SC_SALES_SUPPLYCHAIN_US		Total POS Count	False						Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Avg On Hand Qty	True	#,##0		Supply Chain\Inventory Position			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	POS Sales	True	#,##0		Sales\Total Sales			Calculated Measure
SC_SALES_SUPPLYCHAIN_US		Total Sales Amount	False						Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	POS Qty	True	#,##0		Sales\Total Sales			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	POS Cost	True	#,##0		Cost\Total Cost			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Comp Sales Amount	True	#,##0		Sales\Total Sales			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Comp Sales Qty	True	#,##0		Sales\Total Sales			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	POS Equivalent	True	#,##0		Sales\Total Sales			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Comp POS Equivalent	True	#,##0		Sales\Total Sales			Calculated Measure
SC_SALES_SUPPLYCHAIN_US		S							Set
SC_SALES_SUPPLYCHAIN_US		LY Range							Set
SC_SALES_SUPPLYCHAIN_US		PD							Set
SC_SALES_SUPPLYCHAIN_US		D0							Set
SC_SALES_SUPPLYCHAIN_US		D1							Set
SC_SALES_SUPPLYCHAIN_US		D2							Set
SC_SALES_SUPPLYCHAIN_US		D3							Set
SC_SALES_SUPPLYCHAIN_US		D4							Set
SC_SALES_SUPPLYCHAIN_US		D5							Set
SC_SALES_SUPPLYCHAIN_US		D6							Set
SC_SALES_SUPPLYCHAIN_US	Store Sales	Scan Item Count	True	#,##0		Sales\Scanning			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Scan Club Count	True	#,##0		Sales\Scanning			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Scan Period Count	True	#,##0					Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Scan Day Count	True	#,##0		Sales\Scanning			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Scan Week Count	True	#,##0		Sales\Scanning			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Scan Club Item Count	True	#,##0					Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Plan Item Count	True	#,##0		Sales\Scanning			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Plan Club Count	True	#,##0		Sales\Scanning			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Plan Period Count	True	#,##0					Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Plan Day Count	True	#,##0		Sales\Scanning			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Plan Week Count	True	#,##0		Sales\Scanning			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	Plan Club Item Count	True	#,##0					Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Scan Item Count	True	#,##0		Sales\Scanning\TYLY			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Scan Club Count	True	#,##0		Sales\Scanning\TYLY			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Scan Club Item Count	True	#,##0					Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Scan Period Count	True						Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Scan Day Count	True	#,##0		Sales\Scanning\TYLY			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Scan Week Count	True	#,##0		Sales\Scanning\TYLY			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY POS Item Count	True	#,##0		Sales\Scanning\TYLY			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY POS Club Count	True	#,##0		Sales\Scanning\TYLY			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Plan Period Count	True						Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Plan Day Count	True	#,##0		Sales\Scanning\TYLY			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Plan Week Count	True	#,##0		Sales\Scanning\TYLY			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Plan Item Count	True	#,##0		Sales\Scanning\TYLY			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Plan Club Count	True	#,##0		Sales\Scanning\TYLY			Calculated Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales	LY Plan Club Item Count	True	#,##0					Calculated Measure
SC_SALES_SUPPLYCHAIN_US		All Valid Standard Weeks							Set
SC_SALES_SUPPLYCHAIN_US		All Valid Standard Weeks1							Set
SC_SALES_SUPPLYCHAIN_US		Valid Standard Weeks1							Set
SC_SALES_SUPPLYCHAIN_US		Last Standard Wk1							Set
SC_SALES_SUPPLYCHAIN_US		Last Standard Week							Set
SC_SALES_SUPPLYCHAIN_US		Last Standard 4 Weeks							Set
SC_SALES_SUPPLYCHAIN_US		Last Standard 13 Weeks							Set
SC_SALES_SUPPLYCHAIN_US		Last Standard 26 Weeks							Set
SC_SALES_SUPPLYCHAIN_US		Last Standard 52 Weeks							Set
SC_SALES_SUPPLYCHAIN_US		Last Standard 8 Weeks							Set
SC_SALES_SUPPLYCHAIN_US		Last Standard 12 Weeks							Set
SC_SALES_SUPPLYCHAIN_US		Last Standard 24 Weeks							Set
