,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
194,300531,优博讯,,,,64.67,,3808.08,,,06-13
195,300525,博思软件,1.65,,,42.33,,2351.44,,,06-13
196,300508,维宏股份,0.66,,1.17,82.3,0.61,2805.87,,,06-12
197,300483,沃施股份,0.76,28.81,2.67,29.58,0.62,2875.81,27.21,,06-11
198,603168,莎普爱思,1.39,57.95,4.12,39.37,0.31,6791.27,57.59,,06-11
199,603369,今世缘,1.18,,2.86,52.32,0.96,53315.06,,,06-11
200,603009,北特科技,0.5,8.7,2.01,28.66,-0.12,4038.21,17.89,,06-10
201,603006,联明股份,0.89,6.19,,27.43,0.95,5315.08,5.7,,06-10
202,300386,飞天诚信,0.79,,2.83,30.92,0.61,5890.97,52.38,,06-10
203,300385,雪浪环境,0.86,19.87,3.86,25.71,0.18,5082.4,53.93,,06-10
204,002727,一心堂,0.69,24.32,3.2,24.21,0.52,13470.95,30.86,,06-10
205,603328,依顿电子,0.73,4.29,4.2,18.98,1.04,29052.22,3.39,,06-10
206,002726,龙大肉食,0.72,7.46,,16.03,1.33,11727.28,9.07,,06-10
207,300509,新美星,,,5.84,22.15,1.42,2510.65,,,06-09
208,300499,高澜股份,0.65,,,24.83,0.45,3203.79,,,06-09
209,603029,天鹅股份,0.74,,,17.07,0.6,5187.67,,,06-06
210,300497,富祥股份,,,,34.91,,3584.73,,,06-04
211,300482,万孚生物,,,,27.53,,3167.24,,,06-04
212,603027,千禾味业,,,,31.36,,4705.5,,,06-04
213,603066,音飞储存,0.51,,3.09,24.91,0.2,3849.23,,,06-04
214,300473,德尔股份,,,11.89,35.15,0.9,11774.46,,,06-03
215,300474,景嘉微,,,11.17,71.96,1.91,5377.21,,,06-03
216,603838,四通股份,0.6,,2.35,31.19,0.54,5292.85,,,06-03
217,603028,赛福天,0.26,,1.61,17.11,0.35,4065.05,,,06-03
218,002772,众兴菌业,,,,68.39,,4357.61,,,05-30
219,300431,暴风集团,0.55,,1.67,62.58,0.41,4928.05,,,05-30
220,300461,田中精机,0.88,,2.83,47.73,0.17,4133.06,,,05-30
221,300423,鲁亿通,0.43,,1.58,31.92,-0.35,2858.53,,,05-30
222,300468,四方精创,,,2.75,46.33,1.08,7166.83,,,05-30
223,603311,金海环境,0.4,,1.87,47.16,0.06,4975.72,,,05-30
224,002778,高科石化,0.67,1.52,3.82,21.33,0.14,4143.7,11.83,,05-29
225,300456,耐威科技,0.8,,1.76,56.19,0.3,4650.0,,,05-29
226,002803,吉宏股份,0.27,,,18.28,0.4,2281.57,,,05-29
227,300485,赛升药业,1.02,,2.75,60.66,0.86,8465.99,,,05-28
228,002777,久远银海,0.72,,2.48,26.94,0.97,4317.23,,,05-28
229,603958,哈森股份,0.71,,1.62,48.87,1.08,11543.28,,,05-28
230,603198,迎驾贡酒,0.62,,2.35,37.53,0.71,44794.55,,,05-28
231,300528,幸福蓝海,0.48,,3.78,33.95,-0.13,8163.23,,,05-28
232,603339,四方冷链,,,12.83,29.68,-2.72,7797.14,,,05-28
233,603377,东方时尚,1.22,,,80.6,2.24,14698.6,,,05-27
234,603085,天成自控,0.45,,,28.87,0.42,3389.7,,,05-27
235,603268,松发股份,0.67,,2.5,37.93,1.07,4416.48,,,05-27
236,300520,科大国创,,,1.68,38.34,0.5,3193.54,,,05-27
237,603131,上海沪工,0.56,,2.32,27.57,0.65,4169.92,,,05-27
238,603508,思维列控,0.93,,2.05,28.48,0.49,11200.2,40.36,,05-27
239,300516,久之洋,,,0.88,52.39,0.11,4285.73,,,05-23
240,300510,金冠电气,0.29,,1.82,18.33,-0.23,1527.63,,,05-23
241,002751,易尚展示,1.04,,2.83,42.83,0.72,5503.66,,,05-20
242,601966,玲珑轮胎,0.36,,2.42,15.95,-0.15,36455.9,,,05-20
243,002773,康弘药业,0.43,30.3,2.68,21.98,0.49,16502.64,52.09,,05-20
244,300518,盛讯达,0.82,,2.32,45.88,0.7,5722.19,,,05-19
245,603800,道森股份,0.48,,2.44,24.81,1.56,7537.18,,,05-19
246,300506,名家汇,,,,81.24,,2981.87,,,05-19
247,300453,三鑫医疗,0.62,,2.06,34.76,0.58,3502.68,,,05-19
248,603616,韩建河山,0.6,,2.33,30.15,0.03,6518.8,,,05-19
249,603936,博敏电子,0.42,,2.5,19.27,0.96,5132.12,,,05-19
250,300460,惠伦晶体,0.36,,1.66,24.28,0.68,4526.52,,,05-16
251,300519,新光药业,,,,36.34,,4685.41,,,05-15
252,300470,日机密封,1.22,,3.31,42.05,0.26,4897.37,,,05-15
253,002758,华通医药,1.19,,4.26,37.68,0.71,4410.42,,,05-14
254,603589,口子窖,0.73,,,36.32,0.4,39668.51,,,05-14
255,002759,天际股份,0.58,,2.06,32.86,0.88,4181.38,,,05-14
256,300517,海波重科,0.31,,2.49,13.49,-0.69,2417.01,,,05-13
257,300500,苏州设计,,,8.51,,1.11,9793.65,,,05-12
258,002790,瑞尔特,,,,32.89,,7680.37,,,05-12
259,603718,海利生物,0.51,,1.93,29.42,0.71,10727.34,,,05-09
260,601900,南方传媒,0.35,,,21.05,0.83,23010.32,,,05-09
261,300507,苏奥传感,0.73,4.29,2.33,37.15,0.47,3643.24,15.7,,05-09
262,002795,永和智控,,,,31.12,,2931.67,,,05-09
263,300512,中亚股份,,,1.76,39.39,0.64,6946.49,,,05-08
264,300462,华铭智能,1.02,,3.42,33.14,0.46,3573.6,,,05-08
265,300433,蓝思科技,2.05,,2.95,101.7,0.77,123584.95,,,05-08
266,002792,通宇通讯,0.81,-7.95,5.32,16.12,0.45,7278.86,1.37,,05-07
267,002799,环球印务,0.46,6.98,,22.93,0.85,3483.7,8.65,,05-07
268,002793,东音股份,,,,26.69,,3252.11,,,05-07
269,002787,华源包装,0.5,,2.59,22.63,0.56,5263.99,,,05-07
270,002789,建艺集团,,,,31.05,,2834.7,,,05-07
271,002806,华锋股份,0.55,,2.07,28.31,0.74,3288.68,,,05-07
272,300444,双杰电气,,,,,,4974.75,60.08,,05-07
273,603663,三祥新材,0.57,,,39.74,0.69,5120.86,,,05-06
274,002760,凤形股份,0.73,,,19.06,1.01,4662.96,,,05-06
275,002788,鹭燕医药,0.67,,3.68,20.83,0.29,6362.46,,,05-06
276,300522,世名科技,0.5,,2.16,26.16,0.33,2502.96,,,05-06
277,300484,蓝海华腾,,,,58.92,,2858.55,,,05-06
278,300496,中科创达,,,,7.78,,652.84,,,05-06
279,603919,金徽酒,,,,58.96,,8534.98,,,05-05
280,002763,汇洁股份,0.64,,2.67,28.47,-0.75,10432.78,,,05-05
281,002762,金发拉比,0.96,,,35.81,0.94,4919.55,,,05-05
282,002769,普路通,0.94,,,26.16,-0.25,4935.99,,,05-05
283,300494,盛天网络,0.67,,0.81,93.46,0.6,5418.86,,,05-05
284,300472,新元科技,0.47,,2.12,30.73,0.3,2373.83,,,05-05
285,300471,厚普股份,1.34,,3.97,40.74,1.74,7353.34,,,05-05
286,601811,新华文轩,0.46,,4.14,10.96,0.43,51679.98,,,05-05
287,300480,光力科技,0.62,,3.91,26.96,0.41,3877.03,,,05-05
288,002766,索菱股份,0.61,,2.97,24.96,0.12,7724.61,,,05-05
289,300490,华自科技,0.38,,2.83,14.5,0.7,2824.89,,,05-05
290,603868,飞科电器,,,,83.43,,14404.78,,,05-05
291,002775,文科园林,0.95,,3.13,38.72,0.1,8079.15,,,05-05
292,300486,东杰智能,0.5,,2.22,30.61,0.24,4655.51,,,05-05
293,300489,中飞股份,0.98,,4.07,34.07,0.66,2784.97,,,05-05
294,300478,杭州高新,0.67,,2.54,30.15,0.32,3329.5,,,05-05
295,300466,赛摩电气,0.6,,2.68,26.3,0.24,3582.0,,,05-04
296,002783,凯龙股份,1.69,12.67,,24.97,2.35,10600.5,12.73,,05-04
297,603025,大豪科技,0.8,,1.83,44.22,0.3,28925.05,,,05-04
298,002755,东方新星,0.65,,2.83,25.4,0.44,4913.52,,,05-04
299,300492,山鼎设计,0.52,,1.48,44.08,0.24,3226.15,,,05-04
