code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
600818,中路股份,文教休闲,上海,427.26,23795.78,32144.78,89799.21,33147.55,12325.82,6118.18,0.19,0.017,1.44,20.3,19940128
600859,王府井,百货,北京,14.3,60159.85,60159.85,1377945.38,715718.13,214122.8,320499.5,5.33,0.311,12.4,1.44,19940506
600463,空港股份,园区开发,北京,659.5,30000.0,30000.0,300016.25,209371.25,4591.3,63787.88,2.13,0.005,4.62,3.08,20040318
600707,彩虹股份,元器件,陕西,0.0,73603.77,73675.77,599316.94,58055.17,236990.52,434279.16,5.89,-0.065,2.06,5.69,19960520
000635,英 力 特,化工原料,宁夏,178.53,30308.75,30308.75,316746.34,80362.21,224108.42,187856.88,6.2,0.019,9.24,1.5,19961120
002715,登云股份,汽车配件,广东,0.0,5379.83,9200.0,67300.74,34785.53,25475.39,24281.5,2.64,-0.045,4.76,6.29,20140219
300148,天舟文化,出版业,湖南,195.16,43584.69,50682.17,205980.38,57070.85,5931.12,113556.85,2.24,0.021,3.83,4.21,20101215
300139,晓程科技,元器件,北京,168.05,21216.1,27400.0,142651.44,65028.15,16838.88,58043.31,2.12,0.022,4.64,3.13,20101112
600226,升华拜克,农药化肥,浙江,33.82,109498.29,109498.29,236626.2,91443.8,65453.6,6144.71,0.06,0.068,1.35,6.77,19991116
600400,红豆股份,服饰,江苏,129.6,112079.92,142370.06,666880.88,462491.41,42975.8,7475.74,0.05,0.02,1.53,6.69,20010108
002419,天虹商场,百货,深圳,14.68,80020.0,80020.0,1354610.0,830654.75,187777.95,170919.16,2.14,0.23,7.11,1.89,20100601
300265,通光线缆,电气设备,江苏,39.42,33705.42,33750.0,153097.67,113192.97,28408.25,24446.75,0.72,0.205,2.75,5.88,20110916
000516,国际医学,百货,陕西,64.21,193481.25,197104.94,517341.09,249282.52,148367.44,146278.73,0.74,0.027,1.71,4.11,19930809
002073,软控股份,软件服务,山东,0.0,62595.76,81546.82,907609.88,608262.88,178930.41,95138.81,1.17,-0.043,5.09,2.24,20061018
002601,佰利联,化工原料,河南,164.01,59593.12,71051.11,604970.94,233706.27,188225.36,141102.91,1.99,0.023,3.35,4.55,20110715
603678,火炬电子,元器件,福建,106.67,8069.97,16640.0,167238.34,115175.77,13953.15,35000.8,2.1,0.194,6.85,12.11,20150126
000863,三湘股份,区域地产,上海,8.69,91093.7,138298.67,1316882.0,1209868.38,5148.12,88257.21,0.64,0.3,3.54,2.94,19970925
000156,华数传媒,影视音像,浙江,48.8,99362.43,143335.19,1270813.63,757434.75,232850.84,621420.31,4.34,0.103,6.56,3.05,20000906
300285,国瓷材料,陶瓷,山东,198.27,20618.33,29915.06,194785.52,126315.65,40775.85,97511.31,3.26,0.06,5.36,7.47,20120113
600067,冠城大通,全国地产,福建,2273.46,148779.45,148779.45,1998249.38,1510139.88,97231.32,168873.38,1.14,0.001,4.75,1.52,19970508
000523,广州浪奇,日用化工,广东,313.17,44572.41,52294.42,351405.63,265285.84,43971.26,100667.28,1.93,0.01,3.32,3.7,19931108
600970,中材国际,建筑施工,江苏,24.66,163994.59,175425.8,2817543.0,2298275.0,200595.97,149341.5,0.85,0.074,3.74,1.94,20050412
300253,卫宁健康,软件服务,上海,215.82,58843.19,81242.93,259926.02,154031.47,2241.9,92937.63,1.14,0.027,2.28,10.32,20110818
002133,广宇集团,全国地产,浙江,18.41,60150.46,77414.4,788570.31,726564.88,1779.75,82897.13,1.07,0.198,3.64,2.01,20070427
300444,双杰电气,电气设备,北京,209.81,9725.29,28339.11,118898.47,100673.72,15134.63,30764.33,1.09,0.033,2.92,9.62,20150423
601588,北辰实业,区域地产,北京,20.69,266000.0,336702.0,4776118.5,3971693.5,252964.97,365214.88,1.08,0.055,3.4,1.33,20061016
600206,有研新材,半导体,北京,841.41,70783.31,83877.84,312404.66,261976.05,32958.87,140522.75,1.68,0.004,3.29,3.61,19990319
002244,滨江集团,区域地产,浙江,14.97,229546.0,311144.38,4924134.0,4546931.0,28534.83,233779.27,0.75,0.14,3.81,1.93,20080529
000090,天健集团,建筑施工,深圳,72.56,77354.2,119778.54,1582068.88,1312925.75,17032.15,262307.0,2.19,0.035,4.98,2.06,19990721
000417,合肥百货,百货,安徽,19.32,77861.07,77988.42,840575.69,440275.91,143746.77,30882.48,0.4,0.236,4.45,2.05,19960812
000031,中粮地产,全国地产,深圳,26.04,181372.02,181373.16,5764193.0,5189810.5,56076.3,27967.23,0.15,0.105,3.4,3.22,19931008
300126,锐奇股份,轻工机械,上海,251.27,21047.3,30633.83,125355.7,82510.59,20254.17,47842.92,1.56,0.01,3.41,3.05,20101013
600724,宁波富达,区域地产,浙江,9.09,144494.27,144524.09,1692678.38,1431671.13,56823.35,26015.1,0.18,0.159,1.86,3.11,19960716
601011,宝泰隆,焦炭加工,黑龙江,391.19,130874.56,136750.0,801756.13,121374.36,148519.31,211757.95,1.55,0.01,3.12,2.6,20110309
300400,劲拓股份,专用机械,深圳,113.68,5871.85,12000.0,52967.11,45497.43,4689.23,8372.94,0.7,0.168,3.31,11.54,20141010
002114,罗平锌电,铅锌,云南,0.0,8620.66,27184.08,195528.63,63596.48,50792.31,70135.68,2.58,-0.087,2.92,10.13,20070215
000609,绵石投资,区域地产,北京,176.23,26641.78,29809.55,177722.69,134522.22,4741.58,1206.2,0.04,0.02,4.38,3.18,19961010
600717,天津港,港口,天津,15.44,167476.91,167476.91,3336514.25,942104.13,1386611.75,348172.13,2.08,0.169,8.8,1.19,19960614
000793,华闻传媒,出版业,海南,36.62,182749.75,201736.59,1293753.88,509674.94,125183.3,353755.72,1.75,0.16,4.47,2.62,19970729
000005,世纪星源,房产服务,深圳,0.0,91374.29,105853.68,211078.05,69664.67,3644.5,63805.23,0.6,-0.006,1.08,7.08,19901210
300016,北陆药业,中成药,北京,84.22,25435.75,32599.32,108885.01,57893.05,18745.45,32867.28,1.01,0.063,2.8,7.58,20091030
300128,锦富新材,元器件,江苏,0.0,31263.77,47943.71,320703.53,137927.59,55160.48,155733.72,3.25,-0.028,4.62,3.45,20101013
002796,世嘉科技,专用机械,江苏,147.84,2000.0,8000.0,60450.3,46555.62,10124.55,26651.01,3.33,0.35,6.35,12.75,20160510
002093,国脉科技,电信运营,福建,77.22,85287.47,86500.0,287527.19,150105.61,54567.5,1211.47,0.01,0.038,1.59,7.46,20061215
002667,鞍重股份,工程机械,辽宁,0.0,8624.25,13596.0,82643.03,60388.42,10575.36,32896.12,2.42,-0.059,5.52,5.79,20120329
002562,兄弟科技,化工原料,浙江,55.38,21706.92,54054.39,213121.22,135173.27,46866.17,119690.22,2.21,0.062,3.16,4.32,20110310
600376,首开股份,区域地产,北京,15.04,224201.25,257956.53,14963568.0,13911930.0,80403.11,405206.97,1.57,0.2,10.04,1.31,20010312
002305,南国置业,区域地产,湖北,687.29,119111.35,173152.23,1878515.63,1868644.75,3098.3,1767.7,0.01,0.002,2.01,2.97,20091106
603131,上海沪工,专用机械,上海,184.92,2500.0,10000.0,45564.26,31017.55,0.0,0.0,0.0,0.109,4.62,17.39,20160607
300116,坚瑞消防,专用机械,陕西,0.0,30764.94,50023.76,140361.47,83215.43,13161.0,36675.95,0.73,0.0,1.91,10.98,20100902
002314,南山控股,区域地产,深圳,13.67,73764.14,187753.03,1120553.13,984745.81,86765.15,315971.5,1.68,0.17,3.25,2.59,20091203
